,City,Content_clean,comp_score,topic,topic label
2,Paris 18,magasin maximum darticles références espace très limité trouve tout vendeurs savent quoi parlent cest devenu plutôt rare,negatif,2,personnel
4,Mandelieu La Napoule	,toujours chose onny trouvé toujours lon vient chercher obligé daller d autres castrais cannet antibes,negatif,2,personnel
28,Lormont,commande drive non aboutiejai obligé racheter magasin deux retrait 1130 blocage cbla clôture matériaux poteaux magasin demande quel rayon dirige a lopposé fond magasinenfin trouvés retour drive retrait là après 1h20 dattente poteaux déposés tous abimésarrive a castorama lormont a 10h15 depart a 15h30 cest simplement inadmissible enquête satisfaction castorama lormont mail impossible a valider questionnaire moment mettez avis négatif bravo casto,negatif,0,stock
32,Paris 18,personnel très sympathique dommage nai trouvé produit recherché,negatif,2,personnel
33,Nantes,expérience malheureuse rayon outillage jardin deux client attente dun renseignement pendant deux vendeurs assemblaient coupe bordure marque skil client attendait outil vendeur principal prenait bien temp expliquer collègue comment visser écrous cage manifestement trouver là bonne occupation socupper autres client remarques magasin a totalement changé look dorganisation anciennes equipes encore place leurs anciennes manies manque considération renseignement service client dommage lenseigne concurrence proche mr bricolage leroy merlin part ny vais obligation exclusivité surtout si nai besoin renseignements philippe,negatif,2,personnel
39,Cormeilles En Parisis,quant appelle service après vente attend 12 minute attendre toujour personne téléphone obligé rappeler minute suit quelquun dit instant svp attend raccroche nez cest abuser,negatif,0,stock
53,Chambray Les Tours,aucun accueil conseil personnel détestable autant rayon caisses a éviter concurrents loin,negatif,2,personnel
58,Bron,achat dun parasol a 15 jours désormais a sécurité a cassé toute seule peux replier parasol jaimerais pouvoir retourner directement magasin ça rentre voiture bien évidemment chaque jour jessaie joindre service client téléphone afin sache comment procéder téléphone reste attente pendant plus 15 minute chaque jour sais toujours quoi faire dun parasol peut replier aujourdhui peux ramener magasin,negatif,0,stock
86,Mundolsheim,arrive a mettre étoiles moins jachète pompe thermique neuve arrivé chez range car besoins 3 semaine sort moment venu marche plus carton bon commande dun client précèdent donc remis rayon sans ca marche 2h00 dattente qun vendeur veuillent bien soccuper dossier ca fait 3 semaine pompe sav 2h dattente ligne tel tous appels cumuler toujours personne répond donc fait quoi franchement trouvez ca normal,negatif,0,stock
106,St Martin D'Heres,article disant disponible magasin stock non mi jour donc déplacement inutile après avoir attendu vendeur 40 minute,negatif,0,stock
