,City,Content_clean,comp_score,topic,topic label
1,Vigneux Sur Seine,petit appartement bricole peu jy trouve toujours solution question déco aménagement accessoires maison grand choix tous rayon,neutre,1,large choix
5,Creteil,nul,neutre,0,rayonnage
8,Bèziers,if you need something they have it,neutre,2,personnel
9,Aubiere,,neutre,0,rayonnage
16,Thillois,correct,neutre,2,personnel
18,Niort,personnel très désagréable dit bonjour responsable rayon sanitaire a clairement envoyer rose car voulais passer commande produits sou prétexte quils lavaient rayon vendeur rayon carrelage na daigné lever tête renseigner lallée lon recherchait,neutre,2,personnel
25,Kingersheim,dame occupe rayon salle bain gentillesse toute épreuve rien sue ça retournerai,neutre,2,personnel
34,Chambery,rien rediretrès bon magasin large choix service drive pratique facile vrai plus recommande,neutre,1,large choix
36,Lattes,jour jai voulu avoir renseignement téléphone 15minutes dattente rien jai perdu patience raccrocher cétait trop long jespère quils plus réactif magasin brico dépot 031 sec dattente,neutre,2,personnel
37,Lattes,magasin porte montpellier bien achalandé,neutre,0,rayonnage
42,Barentin,super magasin équipes écoute accompagner projets,neutre,2,personnel
46,Barentin,équipe cuisine lécoute hôtesses caisse sympathiques,neutre,2,personnel
51,Barentin,magasin très spacieux vendeurs accueillants bien tenu,neutre,0,rayonnage
54,Fresnes,so many thing to dyi and so many flower and plant,neutre,2,personnel
55,Orvault,jaime tout magasin,neutre,2,personnel
62,Feytiat,magasin bien ranger personnel très sympa,neutre,2,personnel
65,Vélizy Villacoublay,very big but service is very bad,neutre,2,personnel
69,Haubourdin,vendeurs toujours top apportent solution idées connaissent rayon,neutre,2,personnel
74,Nantes,great store for those diy need wa missing a light bulb socket they had a vide variety to choose from,neutre,2,personnel
76,Colmar,commande passée 2705 jour livraison 3105 minforme éléments livrés cause dune rupture stock totale rembourse donc somme contre regardant site voit larticle quon livre disponible grande quantitéoù cette soidisante rupture stock totale réponse service client attendez remboursement repassez commande,neutre,2,personnel
78,Angouleme,cool,neutre,2,personnel
79,Chambourcy,top,neutre,2,personnel
81,Terville,trouve tous,neutre,2,personnel
84,Aubiere,personnel peu abordable peu aimable si besoin rien super,neutre,2,personnel
87,St Martin D'Heres,voulais prendre dalles 60x40 pleuvait chariot élévateur millieu lallée non seulement ny personne maider charger ny personne déplacer chariot jai dû récupérer dalles fond lallée faire autant voyage sou pluie nai pu tout prendre mouillé fatigué aucun service,neutre,2,personnel
90,Frejus,40 minute attente téléphone personne décroche normal,neutre,2,personnel
97,Bourgoin Jallieu,magasin pratique tarif correct mets 3 étoiles car personnel a laccueil assez désagréable faut surtout trop dérangées poser question a part ça si navez passer laccueil magasin bien,neutre,2,personnel
98,Pierrelaye,moyen,neutre,1,large choix
105,Mundolsheim,magasin vétuste,neutre,2,personnel
107,Chalon Sur Saone,plus plus déçules conseillers font plus plus rares mieux vaut avoir beaucoup temp devant soi chercher seuldésespérant,neutre,1,large choix
112,Chambery,adressés employé demander sil pièce parasol a répondu très rapidement sans trop regarder quil fallait magasin cette pièce alors attendions conseil autre solution cest a apporté vendeur dune autre enseigne cest vrai quil préférait discuter 2 autres collègues a futur achat sais quelle enseigne vais aller,neutre,2,personnel
115,Paris 15,you will find all what you need,neutre,2,personnel
121,Saint Maximin,ra,neutre,2,personnel
122,Niort,bien trouve tout surtout employés présents rayon renseigner guider magasin,neutre,2,personnel
133,Bron,fuyez service client irrespectueux non professionnel,neutre,2,personnel
134,Lormont,venus prendre bay vitrées lors retirer retrait marchandises stock jeune fille mindique aucun remboursement nest possible quils stock quand jinsiste moins avoir remboursement partie énervée rallumer caisse nimporte quoi 6 stock daffichées site aucune magasin plutôt voulu délivrer marchandise débauche comportement revoir,neutre,2,personnel
135,Lormont,impossible joindre magasin 21 min dattente sans réponse comment joindre magasin stock sachant stock magasin site souvent jour,neutre,2,personnel
138,Haubourdin,commande drive 2h faite a trois semaines suite erreur stock chaise final disponible certifie donc quun remboursement lieu semaine 3 semaines après toujours aucun remboursement malgré 4 appels service castorama dit chaque fois quils vont rappeler 30 min jamais dappels castorama englos chez commandé chaise répond absolument jamais téléphone inadmissible,neutre,2,personnel
140,Henin Beaumont,super magasin passerais heures,neutre,2,personnel
143,Olivet,très large choix personnel nombreux,neutre,1,large choix
144,Cormeilles En Parisis,magasin bien achalandé bricolage décoration seul bémol si souhaitez renseignements produit cest commence parcours combattant,neutre,2,personnel
149,Coignieres,très bien,neutre,0,rayonnage
154,La Garde,déco cadre peinture bien achalandé expérimenté bricolage pur,neutre,0,rayonnage
162,Aytre,nest plus cétait,neutre,2,personnel
166,Thillois,enseigne généraliste trouve lon veut général,neutre,2,personnel
167,Lormont,magasin propre difficile trouver vendeur adapté demandes alors trouve,neutre,2,personnel
168,Frejus,jai trouvé font javais besoin magasin bien achalandé bien renseigné très professionnel,neutre,0,rayonnage
172,Portet Sur Garonne,personnel beaucoup plus attentifs chez leroy merlin tarifs resonnable,neutre,1,large choix
173,Haubourdin,troisième fois regarde internet si article stock avant déplacer alors quils bien sensés trouver magasin rayon vides svp remettez stock jour site merci,neutre,2,personnel
181,Viriat,très très mauvaise expérience service retrait marchandise attente 25 minute deux petits transats tout ça mentendre dire oui na trouvé bleu ny jaunes orange soitdisant quil a problème niveau linformatique a bon do celle là venu prévenir tout suite moins énervée drôle cest magasiniers sétonnent ménerve alors pendant 25 minute nai dinformation quil a fallu relance dame laccueil service retrait marchandises quelle aille voir passe signale jétais là seule cliente lundi matin coup fait rembourser passage aucune excuse part personnes mont fait poireauter inutilement bravo castorama,neutre,2,personnel
185,Vitrolles,super,neutre,2,personnel
187,L'Union,où conseillers vente passe plus temp chercher vendeurs quà trouver article rayon,neutre,2,personnel
188,St Marcel Les Valence,personnel peu aimable manquant compétences renseigner plus trouve moins moins darticles,neutre,2,personnel
192,Melesse,trouve veut,neutre,2,personnel
193,Besancon,trouverez ailleurs trouverez chez,neutre,2,personnel
199,Blagnac,repére super promo jamais dispo proposée autre couleur 40 plus cher qualité nest souvent rendez personnel caisse très agréable,neutre,2,personnel
206,Chambourcy,choix produits disposition moyen niveau tarif vendeurs peu disponibles aujourdhui,neutre,1,large choix
210,Cormeilles En Parisis,très très bien,neutre,0,rayonnage
214,Terville,vendeur rayon tondeuse gazon batterie super professionnel a lécoute client jai droit remise model dexposition sachant dit lachète tarif,neutre,2,personnel
219,Dardilly,fait 30 km rendre castorama car larticle souhaité disponible stock arrivé làbas larticle nétait disponible ensuite prends luminaires extérieurs affichés 29 arrivé caisse 41 donc reposé sérieux tout ça,neutre,2,personnel
220,Bondues,accueil top conseillers lécoute,neutre,2,personnel
223,Frejus,très bien dépannages dimanche plus car ouverture dimanche,neutre,0,rayonnage
226,Vélizy Villacoublay,manque information recherche meubles exposé numéro aller très bien indiqué surtout niveau salle bain,neutre,0,rayonnage
227,St Clement De Riviere,accueil conseil très moyen plus vingt minute dattente avoir conseiller quand lamabilité léquipe celleci reste améliorer lorsque prenez matériel certains produits stock figurent site internet conseiller pourrait prendre peine regarder comment commander autre magasin lenseigne demander si nest préférable deffectuer achats ligne opter uniquement retrait magasin quand biensûr livreur trompe référence,neutre,2,personnel
238,Nantes,a tout faut,neutre,0,rayonnage
243,Poitiers,trouve tous besoin personnelles,neutre,2,personnel
244,Terville,bien,neutre,0,rayonnage
245,Chambery,parti acheter robot tondeuse nai réussi voir vendeur susceptible renseigné malgré attente 20 minute donc aller effectuer achat autre enseigne1500 euro perdu magasin,neutre,2,personnel
246,La Seyne Sur Mer,trouve presque tous bricolage jardinage,neutre,2,personnel
248,Avignon,accueil toujours aussi médiocre narrive sentir bien magasin,neutre,0,rayonnage
250,St Marcel Les Valence,plein choses découvrir,neutre,1,large choix
254,Kingersheim,top,neutre,2,personnel
262,Cormeilles En Parisis,sympa comme magasin employés top mal reçu,neutre,2,personnel
265,Marsannay-La-Cote,magasin correct,neutre,2,personnel
269,Vandoeuvre Les Nancy,jai trouvé voulais,neutre,2,personnel
270,Villenave D'Ornon,,neutre,0,rayonnage
