,City,Content_clean,comp_score,topic,topic label
3,St Nazaire,beaucoup bons conseils tarifs parfois élevés quelques accessoires,positif,2,personnel
6,Nîmes,achat dun element salle bain très satisfaisant conseils victoria,positif,2,personnel
12,Fresnes,tiens remercier léquipe casto tout particulièrement sofia qualité service conseils super expérience client vécue aujourdhui merci,positif,2,personnel
13,Henin Beaumont,commande drive passée matin rv pris site retrait jarrive a 15 h50 signale présence 16 h 16 h10 16 h15 toujours personne jattends toujours emplacement drive décide dentrer a lintérieur récuperer commande drive aucune excuse personnel mi a part petit jeune ramené commande final jaurai mieux fait dentrer lacheter directement jai perdu temp trés décue car qd commande drive cest gagner temp or aujourdhui jen perdu décue,positif,1,large choix
14,Bron,beaucoup choix prix moyens,positif,2,personnel
15,Givors,personnel sympa serviable trouve tout malgré peu cher rapport dautres magasins,positif,1,large choix
20,Dunkerque,grand magasin propre rangé contre positionnement rayon mal my retrouver ça fait labyrinthe plus vu surface bien organiser car sinon marche beaucoup,positif,1,large choix
22,Dardilly,nul réserve robot tondeuse ligne prends rdv reçoit confirmation dire commande prête 150km plus tard jarrive lheure rdv personne arrive disant a appele a produit jai fait 150km autant retour vont voir responsable sest jamais déplacer honteux jai débrouiller seul pire partant ose dire rembourse commande quel toupet,positif,1,large choix
29,La Garde,tenais mettre avis magasin fais rarement effet souhaite surtout remercier tout personnel dune extrême gentillesse efficacité rénove maison achète mal produits chez casto coup inévitablement a parfois petits couacs chaque fois cela mest arrivé trouvé solution très rapidement cela lorsque jai rapporté porte défaut alors jétais hors délaiselles remplacées sans aucun problème voilà quand content faut dire aussi,positif,1,large choix
40,Melun,magasin beaucoup darticles rapport qualité prix valable,positif,2,personnel
41,Barentin,magasin très acceuillant vendeurs souriants passge agréable nhésiterai prochain achat,positif,1,large choix
44,Barentin,bon accueil vendeurs dressing top,positif,0,personnel
47,Barentin,magasin très accueillant vendeuse cuisine top,positif,1,large choix
56,Bondues,simple efficace plus cher leroy merlin après vérification larticle acheté magasin très bien entretenu personnel agréable,positif,1,large choix
57,Nîmes,accueil très chaleureux rayon dressing merci victoria conseils concernant laménagement placard atomia,positif,2,personnel
61,Dardilly,peu cher cest grand magasin trouve peu près tout,positif,1,large choix
63,Fresnes,oliviarayon cuisine visite rapide efficace,positif,1,large choix
66,Nîmes,thibault top a lécoute agréable trouve solution a tout problème merci thibaut,positif,1,large choix
68,Jouy Aux Arches,rapport qualité prix moyen,positif,2,personnel
71,Les Pennes Mirabeau,magasin agréable semaine trouve article trouve chez concurrents,positif,1,large choix
73,St Martin D'Heres,pratique trouver 1 vendeur quand cherche 1 produit bon courage sortir magasin commander click and collect aller chercher produit a livraison plus a fallu retourner car vi proposées rentrent d trous super,positif,0,personnel
89,Viriat,rayon bricolage trouves tous quil fautjaime bien acheté personnel agréable,positif,1,large choix
92,Anglet,très bon magasin jai acheter aspirateur tombé panne bout 2 semaines lest ramener réparer après peut dattente mont rembourser top,positif,0,personnel
