,Unnamed: 0,Unnamed: 0.1,Creation date,Business Id,Location name,Group Id,Group name,Business Code,Address,City,Platform,Deleted,Timezone,Rating,Response date,template_used,Recommended,Response date.1,template_used.1,Number of comments,Rating.1,Response date.2,Langues,Content_clean,Response_clean,Response_1_clean,Response_2_clean,scores,compound,comp_score,Topic,topic_ntm,topic,topic label
0,1,1,2022-05-31 23:32:32,565c8ee43440cd4d3f481a1d,Castorama,2214.0,EST,1431,rue Bernard Palissy,Vandoeuvre Les Nancy,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-06-04 15:07:35,Excuses,,,,,,,FRENCH,parking limage magasin cest dire délabré vendeurs caissière tire gueule vendeurs nen parlons a limpression quils cachent finir ponpon garonne toilette état pitoyable barres inox rouillées toilette fuis robinets fixés magasin matériel bricolage devriez mettre plein vue terminerai fameux proverbe cordonniers plus mal chaussés,bonjour merci avoir informé problème allons prendre mesures nécessaires afin désagrément reproduise plus présentons toutes excuse gêne occasionnée cordialement agnes castorama,,,"{'neg': 0.165, 'neu': 0.804, 'pos': 0.031, 'compound': -0.6686}",-0.6686,tres negatif,1,Vendeurs,0,Magasin
7,11,11,2022-05-31 20:17:50,565c8ee53440cd4d3f481a47,Castorama,2211.0,PARIS NORD,1486,1-3 rue De Caulaincourt,Paris 18,GOOGLE_MY_BUSINESS,Yes,Europe/Paris,3.0,,,,,,,,,FRENCH,castorama dirait antichambre lenfer quelquun va faire croire parisiens bricolent cette bande bra cassés savent faire différence entre pigeon pie bricoler quoi déjà général appellent magasin paniqué style jai cassé chasse haaaan bref magasin plein paris cest langoisse alors parisiens dedans cest encore pire plus parle localisation près place clichy là jonction entre ligne 2 ligne 13 enfers,,,,"{'neg': 0.138, 'neu': 0.812, 'pos': 0.05, 'compound': -0.7345}",-0.7345,tres negatif,1,Vendeurs,0,Magasin
11,18,18,2022-05-31 20:14:39,565c8ee43440cd4d3f481a07,Castorama,2215.0,NOUVELLE AQUITAINE,1512,Centre Lescar Soleil,Lescar,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-31 20:28:45,,,,,,,,FRENCH,si besoin rien faut aller voir vendeurs fuient client laccueil détestable pauvres hôtesse caisse prenne grade cause lincompétence vendeurs,bonsoir pouvez apporter plus précisions expérience vécu remerciant bien cordialement emmanuel porcelli directeur magasin castorama email emmanuelporcelli1castoramafr,,,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.6249}",-0.6249,tres negatif,1,Vendeurs,0,Magasin
24,33,33,2022-05-31 17:32:39,565c8ee63440cd4d3f481a6d,Castorama,2217.0,AUVERGNE RHONE ALPES,1469,rue Des Marais,Chambery,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-06-01 19:19:35,Remarque Stock (1),,,,,,,FRENCH,gros problème stock internet chambéry lamoindre choses castorama faire noter site internet stock erronéc inadmissible faire 130 km sentendre dire quil ny a stock faute casto france cest hallucinant contre vendeurs top désarmés,bonjour carine viallon stock magasin mi jour quotidiennement arrive parfois produits vendus entre temp navré nayez pu trouver larticle souhaité lors visite sachez équipes apportent améliorations système permanence afin présenter information plus justes possible jespère constaterez vousmême lors prochains achats a bientôt carole castorama,,,"{'neg': 0.24, 'neu': 0.724, 'pos': 0.036, 'compound': -0.8016}",-0.8016,tres negatif,1,Vendeurs,0,Magasin
30,43,43,2022-05-31 16:44:26,565c8ee63440cd4d3f481a5d,Castorama,2218.0,SUD,1504,600 rue Du Bon Vent,Avignon,GOOGLE_MY_BUSINESS,No,Europe/Paris,2.0,2022-05-31 17:06:35,Excuses,,,,,,,FRENCH,ci chercher demander surtout personnes derrière leurs ordinateurs discute entre très déçus faut débrouille tout seul,bonjour merci avoir informé problème allons prendre mesures nécessaires afin désagrément reproduise plus présentons toutes excuse gêne occasionnée cordialement sandra castorama,,,"{'neg': 0.363, 'neu': 0.637, 'pos': 0.0, 'compound': -0.7501}",-0.7501,tres negatif,1,Vendeurs,0,Magasin
64,84,84,2022-05-31 13:00:14,565c8ee53440cd4d3f481a49,Castorama,2218.0,SUD,1429,Les Semboules,Antibes,GOOGLE_MY_BUSINESS,No,Europe/Paris,2.0,2022-05-31 16:46:22,Avis remonté,,,,,,,FRENCH,jallais dire magasin top entre deux vendeuses rencontrées rayon peinture salle bains conseils disponibilité service retrait marchandises gros point noir magasin attente interminable accueil désagréable fléchage véhicules mal fait dommage,bonjour catherine sincèrement désolés cette expérience magasin comprenons mécontentement prenons compte commentaire afin remonter service concernés bonne journée léquipe castorama,,,"{'neg': 0.238, 'neu': 0.693, 'pos': 0.069, 'compound': -0.7964}",-0.7964,tres negatif,1,Vendeurs,1,personnel
85,111,111,2022-05-31 9:05:01,565c8ee33440cd4d3f4819d5,Castorama,2211.0,PARIS NORD,1420,zone industrielle De Paris Nord Ii,Roissy En France,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-31 12:38:44,Amélioration,,,,,,,FRENCH,dimanche 29 mai matin jai contacté laccueil dame confirmé téléphone magasin reprenaient bien carrelage extérieur mavait livré javais acheté ligne magasin saint maximim lorsque rendus magasin gonesse 12h jour cette dame autre employé magasin refusé reprendre carrelage disant navais précisé carrelage venait dun autre magasin absolument faux javais appelé matin justement massurer ca posait problème non seulement a menti a également très désagréable écourtant léchange surtout a contrevenu cgv magasins castorma a absolument impossible discuter repartir marchandise apparement nest première fois personnel magasin pose problème,bonjour karine sincèrement désolés dû faire face cette situation espérons lors prochaine venue pourrez constater éléments négatifs corrigés plaisir accueillir prochainement hauteur attentes bonne journée léquipe castorama,,,"{'neg': 0.145, 'neu': 0.821, 'pos': 0.034, 'compound': -0.865}",-0.865,tres negatif,2,Vendeurs,0,Magasin
103,130,130,2022-05-31 7:37:32,565c8ee53440cd4d3f481a35,Castorama,2217.0,AUVERGNE RHONE ALPES,1454,rue Denis Papin,Bourgoin Jallieu,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-06-02 15:22:37,Mesures prises,,,,,,,FRENCH,alors là comprends commande click and collect table chaise jardin toscana 30 maion appel dire désolé plus stock 31 mai commande va être annuléeje reçois mail annulation remboursementpuis foulée sm prendre rendez retraitvraiment bazar sait plus quel pied danser quand vais voir produits site ça dis a bourgoin jallieu a 13 table 58 chaise bien compliqué tout ça vais attendre remboursement jirais acheter salon ailleurs tout click and collect fais jamais aboutit quand meme dingue,bonjour galean merci davoir pris temp faire part avis si regrettons visite mal passée lexpérience décrivez correspond absolument souhaitons client allons mettre place bonnes mesures remédier cordialement emmanuelle castorama,,,"{'neg': 0.072, 'neu': 0.895, 'pos': 0.033, 'compound': -0.6331}",-0.6331,tres negatif,2,Magasin,2,livraison
124,163,163,2022-05-30 21:46:00,565c8ee63440cd4d3f481a59,Castorama,2215.0,NOUVELLE AQUITAINE,1464,1 rue André Bourvil,Villenave D'Ornon,GOOGLE_MY_BUSINESS,No,Europe/Paris,2.0,2022-06-01 6:34:10,Attente,,,,,,,FRENCH,25 mn queue régler car seule caisse douverture lamentable,bonjour passe temp bordeaux navré sentiment suite visite sachez faisons maximum rendre disponible face type situation nhésitez demander cadre permanence magasin pourra très certainement trouver solution tous ca merci davoir pris temp partager avis jespère expérience meilleure lors prochaine visite a bientôt léquipe castorama,,,"{'neg': 0.568, 'neu': 0.432, 'pos': 0.0, 'compound': -0.8016}",-0.8016,tres negatif,2,Vendeurs,0,Magasin
127,168,168,2022-05-30 20:40:42,565c8ee33440cd4d3f4819d1,Castorama,2212.0,PARIS SUD,1462,rue André Citroen,Vélizy Villacoublay,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-31 8:53:38,Attentes,,,,,,,FRENCH,bonjour franchement faut plus faire plantes dintérieur extérieur plantes pourri lamentable visite fête mères plantes mettre poubelle,bonjour navrés constater visite hauteur attentes présentons excuse prenons bien compte remarques bonne journée laurent castorama,,,"{'neg': 0.385, 'neu': 0.436, 'pos': 0.179, 'compound': -0.6358}",-0.6358,tres negatif,1,Vendeurs,0,Magasin
139,189,189,2022-05-30 18:45:21,565c8ee53440cd4d3f481a49,Castorama,2218.0,SUD,1429,Les Semboules,Antibes,GOOGLE_MY_BUSINESS,No,Europe/Paris,2.0,2022-05-31 16:47:28,1-2-3 étoiles,,,,,,,FRENCH,magnifique magasin stock faux vendeurs savent rectifient pénurie rayon impossible avoir téléphone dirait directeur payé leroy merlin saboter vaisseau dommage,bonjour fabrice paraissez déçu dernière visite chez castorama avis compte beaucoup toute léquipe magasin disposition afin dissiper doutes satisfaire attentes place téléphone 0492917770 retrouvez également coordonnées service client national lien httpsbitly3t62fea a très vite léquipe castorama,,,"{'neg': 0.344, 'neu': 0.538, 'pos': 0.118, 'compound': -0.6486}",-0.6486,tres negatif,1,Vendeurs,0,Magasin
152,207,207,2022-05-30 17:34:33,565c8ee43440cd4d3f481a1d,Castorama,2214.0,EST,1431,rue Bernard Palissy,Vandoeuvre Les Nancy,GOOGLE_MY_BUSINESS,No,Europe/Paris,2.0,2022-02-19 8:24:52,2/3 étoiles (sans commentaire) ,,,,,,,FRENCH,3ème maison dommage anglais toujours là quand quitte leurope fait plus daffaires nêtes plus bienvenus revoir monsieur anglais,bonjour poussin nhésitez contacter dire navez aimé lors visite afin lon puisse échanger cest grâce lon meilleurs demain plaisir déchanger revoir sein castorama agnes castorama,,,"{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.6888}",-0.6888,tres negatif,1,Vendeurs,0,Magasin
153,209,209,2022-05-30 17:19:43,565c8ee43440cd4d3f481a01,Castorama,2216.0,OCCITANIE,1480,2 rue Du Commerce,Saint Orens De Gameville,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-06-13 9:58:11,,,,,,,,FRENCH,deux mois attend remboursement deux penderies retournées car livrées sale état deux mois appel service client rep demande quand personne raccroche 300 bloque sans personne sache expliquer pourquoi peux assurez achèterai plus jamais chez vaux mieux aller chez leroy merlin a jour tjrs remboursé commande passée avril honteux,bonjour didier sincèrement désolés dû faire face cette situation espérons lors prochaine venue pourrez constater éléments négatifs corrigés plaisir accueillir prochainement hauteur attentes bonne journée léquipe castorama,,,"{'neg': 0.138, 'neu': 0.837, 'pos': 0.025, 'compound': -0.7394}",-0.7394,tres negatif,2,Vendeurs,2,livraison
165,228,228,2022-05-30 15:12:07,565c8ee53440cd4d3f481a2b,Castorama,2217.0,AUVERGNE RHONE ALPES,1466,ZAC De Champ Roman,St Martin D'Heres,GOOGLE_MY_BUSINESS,No,Europe/Paris,4.0,2022-05-31 6:48:37,Au plaisir,,,,,,,FRENCH,bon accueil vendeurs sympas renseigne bien seul problème ny chariot charge lourdes après faut débrouiller quand a énormément matériel transporter véhicules ny a quai charger charge lourdes aussi pourquoi charge lourdes sontelles magasin,bonjour eric remercions cette excellente appréciation plaisir revoir prochainement chez castorama bonne journée rémi castorama,,,"{'neg': 0.363, 'neu': 0.546, 'pos': 0.09, 'compound': -0.8176}",-0.8176,tres negatif,1,Vendeurs,0,Magasin
174,242,242,2022-05-30 12:32:19,565c8ee53440cd4d3f481a53,Castorama,2217.0,AUVERGNE RHONE ALPES,1465,Zone De La Bouvarde,Annecy,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-31 9:52:58,Amélioration,,,,,,,FRENCH,tellement déçu passe commande produit bien stock mannule commande sans motif contacte magasin doù censé partir commande donc metz tessy jai personne rayon jardin confirme quil a bien devidoir stock demande repasser commande quil chargera commande jour reçois second mail dannulation seconde commande recontacte magasin converse dame fait passer menteuse donc bien déçu service client précise jai contacter service client savoir doù venais annulations alors là vrai catastrophe dame répétai tout disais aucune réponse donner mise part désoler oui comprend désoler déçu,bonjour naoelle sincèrement désolés dû faire face cette situation espérons lors prochaine venue pourrez constater éléments négatifs corrigés plaisir accueillir prochainement hauteur attentes bonne journée léquipe castorama,,,"{'neg': 0.154, 'neu': 0.777, 'pos': 0.069, 'compound': -0.8357}",-0.8357,tres negatif,2,Magasin,2,livraison
175,245,245,2022-05-30 12:04:32,565c8ee53440cd4d3f481a4f,Castorama,2210.0,NORD,1477,Centre Commercial,Haubourdin,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-30 16:20:51,Attente,,,,,,,FRENCH,aucun sérieux cuisine commandé mi février aucune nouvelle jusqua avril cest appelant quon dis oui 95 commande devine comment récupère article sans men rendre compte fait payer plus cher prévu pourquoi aujourdhui récupéré article restant bataille jhabite assez loin magasin réponde rarement téléphone,bonjour dhalil boudghene navré sentiment suite visite sachez faisons maximum rendre disponible collaborateurs va contacter jour afin trouver solution tous ca merci davoir pris temp partager avis jespère expérience meilleure lors prochaine visite a bientôt léquipe castorama,,,"{'neg': 0.191, 'neu': 0.809, 'pos': 0.0, 'compound': -0.7412}",-0.7412,tres negatif,2,Vendeurs,2,livraison
178,249,249,2022-05-30 11:05:32,565c8ee63440cd4d3f481a83,Castorama,2215.0,NOUVELLE AQUITAINE,1430,avenue Des Portes De Feytiat,Feytiat,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-31 5:50:26,,,,,,,,FRENCH,personnel incompétent mauvaise gestion stock particulier rayon cuisine responsable rayon propose aucune autre solution personnes habitent sud département mieux vaut perdre 10 minute allez zone nord chez leroy merlin où stock présent personnel plus impliqué heureusement quil sagit dun meuble cuisine complète ça doit être compliqué casto cest terminé,bonjour monsieur julien pinteaux merci retour déçu jaimerais savoir plus expérience donne adresse mail afin puissiez menvoyer coordonnées téléphonique nadiabarbeyrat2castoramafr jattend retour échanger merci souhaite bonne journée,,,"{'neg': 0.186, 'neu': 0.709, 'pos': 0.105, 'compound': -0.7263}",-0.7263,tres negatif,1,Vendeurs,0,Magasin
