,City,Content_clean,comp_score,topic,topic label
10,Bron,grand merci lou équipe professionnalisme commande carrelage rapatriement plusieurs magasins tout sest bien passé livraison a faite rapidement encore merci lou,tres positif,0,choix
17,Gonfreville L'Orcher,toujours bien diriger bien conseillé sourire gentillesse parfait,tres positif,0,choix
19,Dardilly,allé castorama dardilly ny a rien va autant fermer magasin lieu laisser ouvert continuer travailler faire joli,tres positif,0,choix
21,Portet Sur Garonne,jai acheté porte coulissante installation facile prix correct déçu car manque conceil vendeurs sen occupant nest ca tous rayon heureusement,tres positif,0,choix
23,Henin Beaumont,franchement juste parfait équipe chaleureuse accueillante allez rayon quelquun là aider guidez recommande,tres positif,0,choix
26,Nîmes,merci victoria vendeuse très agréable professionnelle reviendra plaisir,tres positif,0,choix
27,Nîmes,merci victoria précieux conseils dressing splendide,tres positif,2,félicitation
31,Chambery,grand merci fond coeur jean luc rayon peinture cet homme incroyable cest passionné travaille venue plusieurs fois toujours bon conseil grâce jai pu faire murs chez seule grand merci grand plaisir lavoir rencontré merci encore,tres positif,1,personnel
35,Nîmes,excellent service conseillé vendeur anthony a très bien pris considération demandes recommande acheteurs rayon peinture,tres positif,0,choix
38,Bèziers,propre bien achalandé personnel caisse fantastique conseil rayon moyen,tres positif,0,choix
43,Barentin,magasin top trouve vraiment tout toutes équipes très pro accueillante surtout raoul sest occupé projet a a z a fait bénéficier nombreux avantages grâce carte fidélité merci encore raoul,tres positif,0,choix
45,Barentin,magasin accueillant spacieux très propre,tres positif,0,choix
48,Barentin,personnel très accueillant rayon salle bain superbe,tres positif,0,choix
49,Barentin,très beau magasin accueil impeccable bravo,tres positif,1,personnel
50,Barentin,très joli magasin très bon accueil conseillés vente,tres positif,1,personnel
52,Barentin,magasin accueillant inspirant recommande équipe volontaire souriante,tres positif,0,choix
59,Viriat,fort manque professionnalisme encore gentille part loïc lespace extérieur sest permis faire morale minsulter femme faible parce jai osé demander laide porter sac sable 35kg jen fais 45 castorama bourg bresse devrait revoir façon traiter client part certains employés,tres positif,0,choix
60,Le Cannet,bon accueil rayon peinture fait mettre 3 étoiles cest quon fait croire quon fait cadeau si prends carte fidélité payante finalement cest opération a 0 jai juste perdu temp naime genre méthode,tres positif,1,personnel
67,Portet Sur Garonne,050322 fais commande lame piliers clôture demande être livré prends carte fidélité bout 10 jours nayant nouvelles jappelle magasin a oubli cela peut arrivé semaine plus tard livrée a erreur poteaux rappelle magasin fini livrer bons poteaux fini faire travaux dépensé plus 1500 euro carte fidélité sensée avoir remise 10 1 journée a erreur commande na validée carte faut joigne magasin quils fassent nécessaire jappelle numéro malgré insistance impossible joindre jétais censée faire terrasse weekend ra bol erreurs nouveau rebondissement après être entrée contact magasin assuré point allaient être crédités carte conjoint nom stéphane gaudin jallais recevoir mail sou 5 jours donnant accès 10 remise 15 jours plus tard toujours rien jessaie dappeler magasin 6 fois personne décroche bande sonore fini raccrocher nez manifestement prête faire terrasse répondre mauvais avis google cest bien suivre dossier client beaucoup mieux,tres positif,0,choix
70,St Marcel Les Valence,bon magasinouvert 9h00 a 13h00 dimanche ça dépanne bien après comme tout magasins bricolage certains article plus chersdautres moins faut comparer entre faire meilleure affaire,tres positif,1,personnel
72,Gonfreville L'Orcher,très bon accueil part thierry rayon parquet très bon conseil top,tres positif,1,personnel
75,Colmar,très beau magasin personnel agréable accueillant recommande cette enseigne bricolage,tres positif,0,choix
77,Nîmes,venus castorama acheter kit dressing vu internet chambre damis vendeurs très gentils réussi faire revenir conception porte placard lentrée merci victoria reçoit chaque fois sourire bons conseils,tres positif,2,félicitation
80,Nîmes,grand merci victoria rayon dressing vrai rayon soleil très contente dêtre enfin accueilli vendeuses compétentes,tres positif,0,choix
82,St Clement De Riviere,très bon accueil qualité service top merci valérie tout rayon sol,tres positif,1,personnel
83,Merignac,a éviter si voulez acheter recharge gaz plancha expérience vécue jour personne laccueil 2 étage menvoie rdc rdc dit devoir aller 2 étage obtenir bon retrait a caisse demande daller rayon outillage a rayon personne recherche vendeur ailleurs magasin dernier arrive enfin sans sexcuser regarde stock pense quil zéro doit donc aller vérifier moment personne demande renseignement manifeste insatisfaction devoir encore attendre permet dire calme enfants jattends donc retour stock mannonce quil ny a bouteille gaz disponible fait remarque attitude cest tout juste si dit daller faire voir désolé lexpression cétait vraiment ca donc plus d12 heure perdue chez castorama trouver bonheur chez leroy merlin très déçu car avant jétais gros client castorama dorénavant cest terminé,tres positif,0,choix
88,Bèziers,merci manuella conseillée futur salle bain très souriante très pro reviendrai finaliser projet chez castorama egalement très appréciable dimanche cest calme vendeurs disponibles recommande vivement mme lagier,tres positif,0,choix
91,Lormont,très bon accueil réception,tres positif,1,personnel
93,Perpignan,réceptionniste sympa très gentil très bon accueil,tres positif,1,personnel
102,Nîmes,merci thibault conseils dexpert grâce jai pu repeindre pièce matériel adéquat,tres positif,2,félicitation
108,Fleury Sur Orne,magasin bien achalandé facile daccès vendeurs compétents aimables,tres positif,0,choix
111,Mandelieu La Napoule	,bons produits prix raisonnables quelques produits manquent actuellement vendeurs très sérieux renseignent efficacement quand peut avoir car victimes succès jécris service client problème rencontré sol reviendrai poster voir si garantie fonctionne bien,tres positif,2,félicitation
113,Nîmes,merci thibault excellent conseiller bonne continuation sein castorama,tres positif,0,choix
117,Chambray Les Tours,achat barbecue celuici nétait plus disponible man donc déplacée chambray lès tour jai appelé avant merci virginie men avoir mi côté afin faire route rien compliqué davoir conseil rayon merci philippe accueil antoine mavoir aidé mettre carton voiture,tres positif,1,personnel
118,Les Pennes Mirabeau,vendeurs super pro réel bonheur tomber vendeurs compétents souriants grand merci marc conseils robinetterie cuisine eric rayon dressing personnel rayon salle bain vendeuse rayon peinture a très bien conseillévive castorama,tres positif,2,félicitation
123,Le Mans,accueil très chaleureux personnel écoute bien conseillée sourire présent caisses accueil rayon où réception marchandises bravo tous super équipe casto très vite grand merci toutje mettrai photo quand tout installé belle semaine,tres positif,0,choix
125,Niort,compétence personnel rayon frôle linexistence estce gen passionnés bricolage formé vendre bien linverse tout ca qualité produits comme reste assez médiocre,tres positif,0,choix
128,La Garde,sav gen superts samedi dernier jétais lapanade douche solaire acheté 15j plus tôt manquait hélas pièces importantes carton samedi dernier article rayon bref quel grâce personnel service après vente jai pu repartir pièces manquante géniaux car sourire réparti pièces prélevés autre carton présent comme hasarddernière merci bcp,tres positif,0,choix
130,Fresnes,situé zone industrielle donc priori moins visité we celui vélizy toujours plein craquer gros avantage limmense rayon jardin accessible depuis parking sans passer magasin donc ouvert particuliers semaine période confinement,tres positif,0,choix
131,St Nazaire,très bien accueilli bien conseillé vendeurs souriant dise bonjour ça fait plaisir prix plutôt correct carte fidélité plutôt pratique cest magasin bricolage préféré saint nazaire,tres positif,0,choix
145,Blagnac,aime bien castorama bricolage,tres positif,0,choix
148,Fresnes,changement dimplantation réussi niveau outillage jardin toujours moyen niveau produits jardinmême fumier aujourdhui produits bien suivis domainejapprécie tout magasinps grand bravo monsieur conseille toujours tres bien patience aime connaît très bien métier rayon jardin produits jardin,tres positif,0,choix
151,Saint Maximin,excellente réactivité concernant litige relation commerciale satisfaction client excellente très satisfaite échange responsable merci,tres positif,0,choix
155,Bèziers,très bon accueil retrait marchandises interlocutrice lara toute facilité emporter marchandises ainsi tous formalités prêt camion merci encore recommande,tres positif,1,personnel
156,Bourgoin Jallieu,table jardin commandé 25 mai76900 eurosle vendeur trop motivé annonce 15 jours délaiet demande régler 20de commandechose faite appelle semaine aprèspour savoir où commande laben aucune table commandée dit personneil fallait régler 50 somme ça marcheon passe côté jardin troisième personne dit fallait régler totalité passer commandetrois personne trois discours différents commandé bonne bande incapablealler file chez leroy merlin,tres positif,0,choix
157,Chennevieres Sur Marne,incroyable formidable homme a tout compris commerce privilégiant service ancien commerçant retraité aujourdhui jai bluffé logisticien aide livraison lemporté jattendais devant service aprèsvente lorsque jai adressé parole monsieur plaisantant gentiment offert café venais tondeuse dont roue cassée attendant tour promené magasin revenant service aprèsvente jai constaté roue réparée si facile critiquer perso nel dun magasin faut aussi savoir féliciter personne lorsque service qualité donné gracieusement mille mercis philippe savoir faire jespère direction saura récompenser juste valeur exemple a suivre,tres positif,0,choix
160,Annecy,jai acheté parquet flottant jour renseignement adressé responsable rayon cette personne très réactive demande échantillons client fidèle castorama jai joujours très satisfait lensemble personnel comme matériel changer rien merci,tres positif,0,choix
161,Nîmes,merci thibaut excellents conseils rayon peinture,tres positif,2,félicitation
164,Antibes,facile sy retrouver grand plusieurs bâtiments beaucoup vendeurs claustras trouvés super prix,tres positif,0,choix
179,Nîmes,service drive rapide efficace agent courtois aide charger commande véhicule suivi temp réel précis réception colis avant lheure rendezvous prévu,tres positif,0,choix
184,Nîmes,passage rayon peinture jai affaire thibault a très disponible bons conseils travaux merci car fait bénéficié promo saturateur,tres positif,2,félicitation
189,Chambourcy,excellent service client rayon cuisine javais appelé massurer disponibilité dune pièce vendeuse allée voir réserve puis rappelée mise côté récupère laprèsmidi ravie pouvoir compter vendeurs très professionnels,tres positif,0,choix
